ID,Drinking Category,Species,Sex,Age,Cortisol,ACTH,Deoxycorticosterone,Aldosterone,DHEAS,Osteocalcin,CTX,FGF_basic,IL_1b,G_CSF,IL_10,IL_6,IL_12,RANTES,Eotaxin,IL_17,MIP_1a,GM_CSF,MIP_1b,MCP_1,IL_15,EGF,IL_5,HGF,VEGF,IFN_y,MDC,I_TAC,MIFAnalyte_46,IL_1RA,TNF_a,IL_2,IP_10,MIG,IL_4,IL_8,IL_23,VEGF_D
10048,LD,Rhesus,M,9.85646522515862,27.09,32.5,324.5,113.855,0.0799999999999999,6.05,0.868,1.8945537619,6.0325504245,0.7711026553,1.4920634993,1.5923445387,124.2422178877,588.3591957632,115.4563079553,8.2694399711,12.5319086948,0.6316988286,46.3542843852,94.0651175235,8.2633175318,0.88,0.1121379066,25.2136459423,0.5920014046,7.2628227724,262.7374369091,33.3930034615,57.4613905468,1163.3294784774,3.9866480451,73.9497817163,2.7153073332,37.8326343129,2.1263995924,1.7891011472,73.9497817163,0.5920014046
10049,HD,Rhesus,M,9.8153966200538,30,51.5,481,147.394999999999,0.0645,10.62,0.78,4.55719578555,7.05279982305,21.5420743907,1.95580400575,1.83846868865,158.559867203449,4642.87206219095,178.7688825147,8.87145121775,16.6489263065,0.7043091901,57.1548529198,177.5956223817,12.1193623889,2.4370989168,0.241976428099999,42.7464097416,0.51219394825,12.80975895905,659.79819862685,58.1117492805999,37.7502762609,2116.08459801105,8.9297558788,64.0619963103,3.66841142135,44.71248663875,2.76225047205,0.8982832668,64.0619963103,0.51219394825
10051,BD,Rhesus,M,9.22400870654428,28.2449999999999,27,354.5,115.49,0.0605,9.9,0.606,3.1258413001,5.8670025251,12.9816871212,1.62427109769999,1.77642539885,165.92965198155,1718.7492241252,167.14052861665,8.2673808687,15.09427088585,0.6802319199,50.99827939185,208.697210219849,9.22672550585,0.88,0.186265549,34.92662650755,0.6070747883,11.58426238565,459.7406265011,45.2591731918499,51.4565292343,1571.92682093755,6.7686658577,54.1742109043,3.7029972083,43.12818021625,2.1263995924,1.1259436133,54.1742109043,0.6070747883
10052,LD,Rhesus,M,9.17746428742547,30.435,14,373.5,140.465,0.114,10.89,1.49,7.31120225665,8.6425275863,26.16379876405,2.15312025465,1.6538520201,166.50309554115,827.39715305455,190.31533614375,6.6165091585,26.3183173023,0.9152401462,142.3395176343,161.01569417535,20.4592879951,11.46433250095,0.242042069699999,53.9751396829,0.6454868414,18.9028750318,289.54435632425,33.3105308092,52.33175137755,1287.30250542525,15.9707209876999,388.231127764299,2.81059287845,40.2771993730499,2.5486835366,3.1458784968,388.231127764299,0.6454868414
10054,BD,Rhesus,M,8.03028125149729,36.2699999999999,55.5,396.5,138.735,0.0975,6.85,0.983,5.49527766825,11.06166581265,20.70427663545,2.3854183706,2.02251760285,200.3743197423,3209.194935563,222.0652236995,7.8533542762,17.99898814465,0.7782564984,58.5345873885,184.0569792644,15.5421152867,4.66528198894999,0.20477443015,38.9086353108,0.75851331015,15.8766015114999,602.12088491575,45.80042226865,73.0338424048,2104.5505297217,10.9792927109,141.82303826115,3.42519675585,43.6317212250999,2.9709674808,2.4620877138,141.82303826115,0.75851331015
10055,LD,Rhesus,M,8.42453986050363,28.765,88.5,343.5,273.895,0.107,12.88,2.93,4.85230757695,9.5606693736,23.8629341451,2.0204965229,2.02276653635,223.60108354855,1791.5029033444,173.3639593716,7.24404117159999,18.50319889155,0.6802319199,64.9184496525,152.879131543,13.4470256625,4.17739952105,0.16766455005,45.2280442559,0.6581076341,15.25954784205,410.36833548235,44.04518712825,39.95057017195,1937.8002565729,11.38858793295,44.2864254983,3.29139064795,40.2990248775499,2.7598255087,3.4856621566,44.2864254983,0.6581076341
10056,LD,Rhesus,M,8.00837799544138,23.665,27.5,289,305.1,0.0805,13.81,2.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10057,BD,Rhesus,M,7.05558635700938,23.53,39.5,441,166.53,0.160999999999999,30.32,2.38,4.32510967575,7.8520167868,24.28463758095,2.25211042255,1.89956312495,166.42028570925,2296.28281803435,160.7620517355,4.9597431195,15.56011491585,0.69635331415,56.6361255776,157.01409318895,10.8989579165,1.25483826925,0.223375429149999,38.2756390626,0.55155449015,12.81423828615,554.34369689475,30.27075028835,34.8829872124,1772.2029847173,8.08125313495,81.640916861,2.03527125595,41.9679948551,3.18453441625,3.36864587585,81.640916861,0.55155449015
10058,LD,Rhesus,M,7.17605426531687,19.695,49.5,325.5,84.31,0.0415,26.34,2.05,6.061768032,9.10903828555,26.65403581715,2.08643717595,2.94227555425,151.191127990249,2951.16264973015,194.250761042299,6.2227605769,17.06480630345,3.0603357767,109.4945588673,187.53766156365,18.8492043426,2.78183952074999,0.2233754291,46.53737703695,1.01720316505,17.09782086825,450.5801110249,36.0567069738,57.4525609905,2103.1691460845,8.50550450685,1265.2260920854,2.93145018155,39.01885525205,2.7598255087,5.03343066839999,1265.2260920854,1.01720316505
10059,BD,Rhesus,M,7.17605426531687,29.4099999999999,48.5,459,393.235,0.2885,17.28,1.56,6.9532342828,10.67541739275,35.3948919159,2.5176858132,2.45220872895,300.9017935365,5203.5245344572,260.20607606295,10.16095811615,20.36415331345,3.653105528,87.4861947284,231.1314372381,22.9079867887,1.6182377047,0.223375429149999,53.77676998335,1.30478160675,17.7075655973,441.7149481162,48.7113696629,132.0818665391,2491.43091154385,11.785987727,1378.9095808752,5.26398385185,40.216980104,2.97339244415,6.13430124895,1378.9095808752,1.30478160675
